pwm,pitch
0.00,0.0407
-0.20,0.0407
-0.20,0.0406
-0.20,0.0407
-0.20,0.0411
-0.20,0.0412
-0.20,0.0409
-0.20,0.0405
-0.20,0.0373
-0.20,0.0283
-0.20,0.0176
-0.20,0.0075
-0.20,-0.0012
-0.20,-0.0085
-0.20,-0.0143
-0.20,-0.0187
-0.20,-0.0233
-0.20,-0.0317
-0.20,-0.0415
-0.20,-0.0498
-0.20,-0.0565
-0.20,-0.0620
-0.20,-0.0689
-0.20,-0.0776
-0.20,-0.0853
-0.20,-0.0910
-0.20,-0.0971
-0.20,-0.1050
-0.20,-0.1129
-0.20,-0.1200
-0.20,-0.1265
-0.20,-0.1340
-0.20,-0.1425
-0.20,-0.1505
-0.20,-0.1581
-0.20,-0.1653
-0.20,-0.1726
-0.20,-0.1796
-0.20,-0.1868
-0.20,-0.1944
-0.20,-0.2015
-0.20,-0.2077
-0.20,-0.2138
-0.20,-0.2208
-0.20,-0.2286
-0.20,-0.2359
-0.20,-0.2425
-0.20,-0.2487
-0.20,-0.2552
-0.20,-0.2623
0.20,-0.2693
0.20,-0.2755
0.20,-0.2813
0.20,-0.2823
0.20,-0.2794
0.20,-0.2724
0.20,-0.2628
0.20,-0.2502
0.20,-0.2353
0.20,-0.2183
0.20,-0.2007
0.20,-0.1864
0.20,-0.1741
0.20,-0.1614
0.20,-0.1475
0.20,-0.1326
0.20,-0.1167
0.20,-0.1002
0.20,-0.0835
0.20,-0.0680
0.20,-0.0534
0.20,-0.0396
0.20,-0.0261
0.20,-0.0132
0.20,-0.0006
0.20,0.0115
0.20,0.0227
0.20,0.0331
0.20,0.0430
0.20,0.0559
0.20,0.0712
0.20,0.0860
0.20,0.0992
0.20,0.1117
0.20,0.1243
0.20,0.1364
0.20,0.1487
0.20,0.1605
0.20,0.1724
0.20,0.1839
0.20,0.1948
0.20,0.2063
0.20,0.2186
0.20,0.2301
0.20,0.2413
0.20,0.2521
0.20,0.2628
-0.20,0.2740
-0.20,0.2843
-0.20,0.2934
-0.20,0.2986
-0.20,0.2996
-0.20,0.2965
-0.20,0.2910
-0.20,0.2827
-0.20,0.2727
-0.20,0.2603
-0.20,0.2463
-0.20,0.2322
-0.20,0.2232
-0.20,0.2170
-0.20,0.2103
-0.20,0.2025
-0.20,0.1934
-0.20,0.1831
-0.20,0.1720
-0.20,0.1602
-0.20,0.1483
-0.20,0.1384
-0.20,0.1310
-0.20,0.1239
-0.20,0.1167
-0.20,0.1091
-0.20,0.1016
-0.20,0.0942
-0.20,0.0869
-0.20,0.0798
-0.20,0.0729
-0.20,0.0660
-0.20,0.0574
-0.20,0.0479
-0.20,0.0387
-0.20,0.0300
-0.20,0.0223
-0.20,0.0147
-0.20,0.0056
-0.20,-0.0036
-0.20,-0.0122
-0.20,-0.0204
-0.20,-0.0290
-0.20,-0.0382
-0.20,-0.0468
-0.20,-0.0549
-0.20,-0.0625
-0.20,-0.0706
-0.20,-0.0790
-0.20,-0.0870
-0.20,-0.0939
-0.20,-0.1013
-0.20,-0.1096
-0.20,-0.1179
-0.20,-0.1258
-0.20,-0.1331
-0.20,-0.1414
-0.20,-0.1503
-0.20,-0.1588
-0.20,-0.1663
-0.20,-0.1737
-0.20,-0.1813
-0.20,-0.1889
-0.20,-0.1969
-0.20,-0.2044
-0.20,-0.2107
-0.20,-0.2168
-0.20,-0.2240
-0.20,-0.2318
-0.20,-0.2392
-0.20,-0.2459
-0.20,-0.2522
-0.20,-0.2594
-0.20,-0.2666
0.20,-0.2736
0.20,-0.2799
0.20,-0.2856
0.20,-0.2867
0.20,-0.2836
0.20,-0.2765
0.20,-0.2665
0.20,-0.2534
0.20,-0.2383
0.20,-0.2210
0.20,-0.2040
0.20,-0.1911
0.20,-0.1790
0.20,-0.1661
0.20,-0.1518
0.20,-0.1366
0.20,-0.1203
0.20,-0.1035
0.20,-0.0867
0.20,-0.0715
0.20,-0.0572
0.20,-0.0437
0.20,-0.0303
0.20,-0.0173
0.20,-0.0046
0.20,0.0076
0.20,0.0190
0.20,0.0296
0.20,0.0399
0.20,0.0528
0.20,0.0682
0.20,0.0832
0.20,0.0965
0.20,0.1093
0.20,0.1221
0.20,0.1344
0.20,0.1468
0.20,0.1589
0.20,0.1709
0.20,0.1825
0.20,0.1936
0.20,0.2055
0.20,0.2179
0.20,0.2295
0.20,0.2408
0.20,0.2517
0.20,0.2626
-0.20,0.2738
-0.20,0.2841
-0.20,0.2932
-0.20,0.2986
-0.20,0.3000
-0.20,0.2971
-0.20,0.2917
-0.20,0.2835
-0.20,0.2734
-0.20,0.2610
-0.20,0.2468
-0.20,0.2324
-0.20,0.2233
-0.20,0.2175
-0.20,0.2111
-0.20,0.2036
-0.20,0.1947
-0.20,0.1848
-0.20,0.1737
-0.20,0.1619
-0.20,0.1499
-0.20,0.1393
-0.20,0.1317
-0.20,0.1247
-0.20,0.1178
-0.20,0.1105
-0.20,0.1033
-0.20,0.0957
-0.20,0.0884
-0.20,0.0810
-0.20,0.0741
-0.20,0.0672
-0.20,0.0594
-0.20,0.0500
-0.20,0.0403
-0.20,0.0315
-0.20,0.0234
-0.20,0.0158
-0.20,0.0073
-0.20,-0.0023
-0.20,-0.0110
-0.20,-0.0191
-0.20,-0.0275
-0.20,-0.0366
-0.20,-0.0456
-0.20,-0.0540
-0.20,-0.0616
-0.20,-0.0696
-0.20,-0.0780
-0.20,-0.0865
-0.20,-0.0935
-0.20,-0.1004
-0.20,-0.1085
-0.20,-0.1170
-0.20,-0.1249
-0.20,-0.1322
-0.20,-0.1404
-0.20,-0.1491
-0.20,-0.1577
-0.20,-0.1656
-0.20,-0.1728
-0.20,-0.1800
-0.20,-0.1875
-0.20,-0.1952
-0.20,-0.2025
-0.20,-0.2090
-0.20,-0.2148
-0.20,-0.2218
-0.20,-0.2295
-0.20,-0.2367
-0.20,-0.2434
-0.20,-0.2495
-0.20,-0.2561
-0.20,-0.2631
0.20,-0.2704
0.20,-0.2770
0.20,-0.2828
0.20,-0.2838
0.20,-0.2809
0.20,-0.2736
0.20,-0.2638
0.20,-0.2508
0.20,-0.2356
0.20,-0.2182
0.20,-0.2008
0.20,-0.1870
0.20,-0.1748
0.20,-0.1620
0.20,-0.1479
0.20,-0.1327
0.20,-0.1165
0.20,-0.0998
0.20,-0.0828
0.20,-0.0670
0.20,-0.0520
0.20,-0.0380
0.20,-0.0244
0.20,-0.0111
0.20,0.0017
0.20,0.0140
0.20,0.0258
0.20,0.0366
0.20,0.0469
0.20,0.0591
0.20,0.0744
0.20,0.0898
0.20,0.1037
0.20,0.1161
0.20,0.1271
0.20,0.1390
0.20,0.1522
0.20,0.1646
0.20,0.1761
0.20,0.1869
0.20,0.1981
0.20,0.2108
0.20,0.2225
0.20,0.2337
0.20,0.2449
0.20,0.2556
0.20,0.2668
-0.20,0.2778
-0.20,0.2877
-0.20,0.2970
-0.20,0.3024
-0.20,0.3037
-0.20,0.3007
-0.20,0.2950
-0.20,0.2867
-0.20,0.2763
-0.20,0.2636
-0.20,0.2491
-0.20,0.2343
-0.20,0.2255
-0.20,0.2202
-0.20,0.2143
-0.20,0.2071
-0.20,0.1984
-0.20,0.1885
-0.20,0.1774
-0.20,0.1655
-0.20,0.1530
-0.20,0.1413
-0.20,0.1330
-0.20,0.1265
-0.20,0.1200
-0.20,0.1131
-0.20,0.1062
-0.20,0.0989
-0.20,0.0916
-0.20,0.0845
-0.20,0.0776
-0.20,0.0700
-0.20,0.0608
-0.20,0.0516
-0.20,0.0428
-0.20,0.0345
-0.20,0.0267
-0.20,0.0181
-0.20,0.0089
-0.20,0.0000
-0.20,-0.0083
-0.20,-0.0164
-0.20,-0.0254
-0.20,-0.0343
-0.20,-0.0432
-0.20,-0.0515
-0.20,-0.0594
-0.20,-0.0671
-0.20,-0.0752
-0.20,-0.0835
-0.20,-0.0910
-0.20,-0.0979
-0.20,-0.1055
-0.20,-0.1138
-0.20,-0.1221
-0.20,-0.1296
-0.20,-0.1376
-0.20,-0.1462
-0.20,-0.1549
-0.20,-0.1631
-0.20,-0.1707
-0.20,-0.1779
-0.20,-0.1854
-0.20,-0.1927
-0.20,-0.2006
-0.20,-0.2076
-0.20,-0.2136
-0.20,-0.2202
-0.20,-0.2278
-0.20,-0.2355
-0.20,-0.2427
-0.20,-0.2493
-0.20,-0.2556
-0.20,-0.2627
0.20,-0.2700
0.20,-0.2766
0.20,-0.2825
